Product,GHG.Emissions,Hamburger,Hamburger Emissions,Salad,Salad Emissions,Salad With Chicken,Salad With Chicken Emissions,Cheese Pizza,Cheese Pizza Emissions,Banana Pancakes,Banana Pancakes Emissions,Brownies,Brownies Emissions,Cookies,Cookies Emissions,Pasta,Pasta Emissions,Pasta With Chicken,Pasta With Chicken Emissions
Buffalo,55.395,,0,,0,,0,,0,,0,,0,,0,,0,,0
Beef,28.7707927,0.1134,3.262607892,,0,,0,,0,,0,,0,,0,,0,,0
Lobster,28.05,,0,,0,,0,,0,,0,,0,,0,,0,,0
Lamb,27.9142857,,0,,0,,0,,0,,0,,0,,0,,0,,0
Veal,21.5,,0,,0,,0,,0,,0,,0,,0,,0,,0
Sole,20.86,,0,,0,,0,,0,,0,,0,,0,,0,,0
Prawns/Shrimp,14.8463636,,0,,0,,0,,0,,0,,0,,0,,0,,0
Turbot,14.515,,0,,0,,0,,0,,0,,0,,0,,0,,0
Megrim,14.15,,0,,0,,0,,0,,0,,0,,0,,0,,0
Swordfish,12.84,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cheddar Cheese,12.69,,0,,0,,0,0.125,1.58625,,0,,0,,0,,0,,0
Anglerfish,12.29,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hake European,11.96,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cephalopodsm Varied (Squid),11.61,,0,,0,,0,,0,,0,,0,,0,,0,,0
Flatfish Varied,11.61,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hake Senegal,11.61,,0,,0,,0,,0,,0,,0,,0,,0,,0
Shark,11.56,,0,,0,,0,,0,,0,,0,,0,,0,,0
Butter,11.51625,0.0053175,0.06123765938,,0,,0,,0,,0,0.026,0.2994225,0.25,2.8790625,0.25,2.8790625,0.25,2.8790625
Bigeye Tuna,11.44,,0,,0,,0,,0,,0,,0,,0,,0,,0
Porbeagle,11.44,,0,,0,,0,,0,,0,,0,,0,,0,,0
Shark Mako,11.44,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pomfret Atlantic,9.77,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mozarella Cranolo,9.72,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hake Fillet,9.14,,0,,0,,0,,0,,0,,0,,0,,0,,0
Semi Hard Chees,8.79,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cheese,8.735,,0,,0,,0,,0,,0,,0,,0,0.3125,2.7296875,0.3125,2.7296875
Semi-Hard,8.5,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rhombus,8.41,,0,,0,,0,,0,,0,,0,,0,,0,,0
Natural,8.3,,0,,0,,0,,0,,0,,0,,0,,0,,0
Goats Cheese,8.18,,0,,0,,0,,0,,0,,0,,0,,0,,0
Fork Beard,8.01,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mozarrella,7.915,,0,,0,,0,,0,,0,,0,,0,,0,,0
Camembert Cheese,7.55,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mussels,7.542,,0,,0,,0,,0,,0,,0,,0,,0,,0
Octopus,7.35,,0,,0,,0,,0,,0,,0,,0,,0,,0
Raspberries and Other Berries (G),7.35,,0,,0,,0,,0,,0,,0,,0,,0,,0
Diamond Fish,7.1775,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rock Fish,6.94,,0,,0,,0,,0,,0,,0,,0,,0,,0
Squid,6.91,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hake,6.88,,0,,0,,0,,0,,0,,0,,0,,0,,0
Ling,6.45,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cuttlefish,6.39,,0,,0,,0,,0,,0,,0,,0,,0,,0
Turkey,6.04,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pork,5.82317829,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cream,5.325,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rabbit,4.7,,0,,0,,0,,0,,0,,0,,0,,0,,0
Fish,4.3975,,0,,0,,0,,0,,0,,0,,0,,0,,0
Raspberries and Other Berries,4.27,,0,,0,,0,,0,,0,,0,,0,,0,,0
Chicken,4.11694737,,0,,0,0.197,0.8110386319,,0,,0,,0,,0,,0,0.197,0.8110386319
Kangaroo,4.1,,0,,0,,0,,0,,0,,0,,0,,0,,0
Eel,3.88,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cucumbers and Gherkins (G),3.79,,0,,0,,0,,0,,0,,0,,0,,0,,0
Whiting Blue,3.79,,0,,0,,0,,0,,0,,0,,0,,0,,0
Salmon,3.7647619,,0,,0,,0,,0,,0,,0,,0,,0,,0
Bufalo Milk,3.75142857,,0,,0,,0,,0,,0,,0,,0,,0,,0
Trout,3.731,,0,,0,,0,,0,,0,,0,,0,,0,,0
Bass,3.6,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cod,3.582,,0,,0,,0,,0,,0,,0,,0,,0,,0
Sea Bass,3.53666667,,0,,0,,0,,0,,0,,0,,0,,0,,0
Alfonsino,3.49,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pomfret,3.49,,0,,0,,0,,0,,0,,0,,0,,0,,0
Eggs,3.40179487,0.014175,0.04822044228,,0,,0,,0,0.096,0.3265723075,0.123,0.418420769,0.048,0.1632861538,,0,,0
Haddock,3.365,,0,,0,,0,,0,,0,,0,,0,,0,,0
Lettuce (G),3.148,,0,,0,,0,,0,,0,,0,,0,,0,,0
Duck,3.085,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rice,2.66037037,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mackerel Atlantic,2.6,,0,,0,,0,,0,,0,,0,,0,,0,,0
Tuna,2.596,,0,,0,,0,,0,,0,,0,,0,,0,,0
Strawberries (G),2.56,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mackerel Horse,2.47,,0,,0,,0,,0,,0,,0,,0,,0,,0
Peas - Green – Shelled,2.46,,0,,0,,0,,0,,0,,0,,0,,0,,0
Tomatoes (G),2.29435897,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cod (Fish Stick),2.14,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hake (Fish Stick),2.14,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pollock (Fish Stick),2.14,,0,,0,,0,,0,,0,,0,,0,,0,,0
Gherkins (G),2.09,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rapeseed and Mustard Seed,2.09,,0,,0,,0,,0,,0,,0,,0,,0,,0
Beans - Green,1.97666667,,0,,0,,0,,0,,0,,0,,0,,0,,0
Carp,1.80666667,,0,,0,,0,,0,,0,,0,,0,,0,,0
Coconuts (Incl. Copra),1.78,,0,,0,,0,,0,,0,,0,,0,,0,,0
Zucchini/Button Squash (G),1.77,,0,,0,,0,,0,,0,,0,,0,,0,,0
Peppers/Capsicums (G),1.7625,,0,,0,,0,,0,,0,,0,,0,,0,,0
Almonds,1.74166667,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mackeral,1.74083333,,0,,0,,0,,0,,0,,0,,0,,0,,0
Walnuts,1.615,,0,0.045,0.072675,0.045,0.072675,,0,,0,,0,,0,,0,,0
Cucumbers (G),1.57333333,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cahsew Nuts,1.5525,,0,,0,,0,,0,,0,,0,,0,,0,,0
Whiting,1.54,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pistachios,1.525,,0,,0,,0,,0,,0,,0,,0,,0,,0
Emu,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0
Yogurt,1.42636364,,0,,0,,0,,0,,0,,0,,0,,0,,0
Goats Milk,1.41,,0,,0,,0,,0,,0,,0,,0,,0,,0
Sunflower Seed,1.41,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pollock,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0
Cows Milk,1.39596958,0.0147,0.02052075283,,0,,0,,0,,0,0.113,0.1577445625,,0,0.1774411781,0.2477024869,0.1774411781,0.2477024869
Maize Sweet Corn,1.38,,0,,0,,0,,0,,0,,0,,0,,0,,0
Melons (G),1.36666667,,0,,0,,0,,0,,0,,0,,0,,0,,0
Eggplants (Aubergines),1.35,,0,,0,,0,,0,,0,,0,,0,,0,,0
Flatfish,1.2,,0,,0,,0,,0,,0,,0,,0,,0,,0
Herring,1.1725,,0,,0,,0,,0,,0,,0,,0,,0,,0
Quinoa,1.15,,0,,0,,0,,0,,0,,0,,0,,0,,0
Pilchard,1.095,,0,,0,,0,,0,,0,,0,,0,,0,,0
Beans,1.054,,0,,0,,0,,0,,0,,0,,0,,0,,0
Fish (Mixed),1.04,,0,,0,,0,,0,,0,,0,,0,,0,,0
Lentils,1.03,,0,,0,,0,,0,,0,,0,,0,,0,,0
Mackeral (Fish Stick,1.02,,0,,0,,0,,0,,0,,0,,0,,0,,0
Peas,1.015,,0,0.022,0.02233,0.022,0.02233,,0,,0,,0,,0,,0,,0
Ground Nuts,0.99,,0,,0,,0,,0,,0,,0,,0,,0,,0
Hazlenuts,0.965,,0,,0,,0,,0,,0,,0,,0,,0,,0
